_nvars = 5942

_snvars = 4954

_ncons = 23799

_sncons = 18542

_nobjs = 1

solve_result = limit

WO = 0

Sum_WSn_PR = 5346.48

Sum_WSn_PR_LEX2 = 0

Sum_WSn = 5346.48

Zp = 0

Zn = 0

Z_LEX3p = 0

Z_LEX3n = 0

_solve_elapsed_time = 7200.05

solve_message =
'CPLEX 22.1.1.0: time limit with integer solution; objective -5346.48\
99430974 MIP simplex iterations\
73742 branch-and-bound nodes\
absmipgap = 1960.8, relmipgap = 0.366746'

_solve_time = 28724.7

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
26     0      0      0
27     0      0      0
28     0      0      0
29     0      0      0
30     0      0      0
31     0      0      0
32     0      0      0
33     0      0      0
34     0      0      0
35    76.38   0      0
36     0      0      0
37     0      0      0
38     0      0      0
39     0      0      0
40     0      0      0
41     0      0      0
42     0      0      0
43     0      0      0
44   736.38   0      0
45   599.05   0      0
;

